"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.5374","","","","","","","","","","96.94053","","","","","","","","",
"Afghanistan","AFG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","30.30775","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4171","","","","","","","",
"Angola","AGO","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.91987","","","","","","","","","","","","","79.97415","","","","",
"Albania","ALB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.18761","","","","","","","97.3062","","","98.00816","98.35261","","","","","","",
"Andorra","AND","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","60.2949","60.64819","61.10123","61.57178","62.07459","62.00597","62.7109","63.48105","64.27246","64.72476","65.58355","66.31056","67.10404","68.07179","68.72493","69.83685","70.35145","71.18083","72.21095","72.87947","73.84942","74.60969","75.03295","76.24353","77.08168","80.00241","80.5662","80.89191","77.643","78.26312","78.72596","77.56362","78.14771","79.49859","80.38914","80.70831","81.04234","81.33483","81.58286","","",
"United Arab Emirates","ARE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","58.38611","","","","","","","","","","72.27428","","","","","","","","","","","","","","","","","","","","89.4821","","","","","","","","","","","","","",
"Argentina","ARG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","94.26339","","","","","","","","","","","96.22127","","","","","","","","","","97.1932","","","","","98.7271899999999","","","98.96272","98.98532","99.2283099999999","99.11113","99.15603","99.06125","99.14825","99.10499","","",
"Armenia","ARM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.40385","","","","","","","","","","","","99.67223","","","","","","","","","","99.8060799999999","","","","","","","",
"American Samoa","ASM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","97.46996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.4","","","","","","","","","","","","","","98.4","","","",
"Australia","AUS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.47242","","","","","","","","99.824","","99.84267","99.85444","99.85666","99.85285","99.86592","99.86201","99.86263","99.86405","","",
"Burundi","BDI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","34.26271","","","","","","","","","","","48.23625","","","","","","","","","","67.3069299999999","","","","","","","","53.12839","","","","","","69.69251","","","","",
"Belgium","BEL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","25.19006","","","","","","","","","","","","","39.90334","","","","","","","","","","47.86596","","","","40.61617","","","","","","44.96026","","","","","","",
"Burkina Faso","BFA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","14.52849","","","","","","","","","","","","","","","","19.62613","","","","","18.51779","","","","","","","29.362","","31.44193","29.71436","36.68067","","","","","","","44.37945","","","","",
"Bangladesh","BGD","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","39.7323","","","","","","","","","","44.31428","","","","","","","","","","53.89609","","","","","","49.83233","","","","47.44985","61.54287","64.21377","64.36509","68.0553599999999","75.61885","75.70236","",
"Bulgaria","BGR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7366","","","","","","","","","","98.74723","","","","","","","",
"Bahrain","BHR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","76.51837","","","","","","","","","","88.53737","","","","","","","","","","88.5541099999999","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.30542","","","","","","","","","99.03371","","","","","","","","","","","99.54133","","99.17628","","","","","",
"Belarus","BLR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.38418","","","","","","","","","","99.7921099999999","","","","","","","","","","99.76369","","","","","","","","","",
"Belize","BLZ","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.26877","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","75.84289","","","","","","","","","","","","","","","","88.15559","","","","","","","","","93.05747","","","","","","96.03626","94.95543","95.80364","","96.60105","97.10705","","","96.52275","","","",
"Brazil","BRA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","76.37736","","","","","","","","","","","","","","","","","","","","86.22798","","","","88.40946","","89.35324","89.7721399999999","89.83787","90.17484","90.05618","91.16898","91.02567","91.17796","91.36677","91.72516","","","",
"Barbados","BRB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","99.2872299999999","","","","","","","","","","","","","","99.5999999999999","","","","","","","","","","99.5999999999999","","","","","","","","","","99.5999999999999","","","","","","","","","","99.5999999999999","","","","",
"Brunei Darussalam","BRN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","85.13681","","","","","","","","","","92.45219","","","","","","","","","","95.15042","","","","","","","","","","97.42816","","","","","","","",
"Bhutan","BTN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.04778","","","","","","","66.00306","","","","","","",
"Botswana","BWA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.38694","","","","","","","","","","","","80.43011","","","","","","","","","","","86.74","","","","",
"Central African Republic","CAF","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","29.59292","","","","","","","","","","","","","48.0203","","","","","","","","","","","","66.78953","","","","","","","","","","50.71271","","","","","","","","",
"Canada","CAN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","99.01356","99.02429","99.04212","99.05588","99.06562","99.0799","99.09186","99.11788","99.1393","99.15325","99.1757","99.19261","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","91.48054","","","","","","","","","","94.56307","","","","","","","","","","95.79641","","","","","","98.60164","98.6072","","96.89878","","96.3880099999999","","97.02469","","","",
"China","CHN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","79.1917799999999","","","","","","","","87.02498","","","","","","","","","","95.13525","","","","","","","","","","97.47946","","","","","","","","",
"Cote d'Ivoire","CIV","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.36354","","","","","","","","","","43.94642","","60.86066","","","","","","","","","","","","51.59267","","50.7019","","","","",
"Cameroon","CMR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","54.62985","","","","","","","","","","","","","","","","","","","","","","","","79.19452","","","","","","","78.94996","","","78.32769","","","","","","","","",
"Congo, Dem. Rep.","COD","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.92324","","","","","","76.91569","","","","","87.90839","","","","88.52469","","",
"Congo, Rep.","COG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.43431","","","","","","","",
"Colombia","COL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.97266","","","91.0891","","","","","","","","92.90412","92.77795","92.3927999999999","92.4297","93.31688","93.06254","93.25019","93.48826","","","93.8674","94.06317","94.40228","","",
"Comoros","COM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","55.97704","","","","","","","","","","","","","","","","","","","","74.5140399999999","","","","","","","","","","","","56.4798","","","","","","",
"Cabo Verde","CPV","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.75927","","","","","","","","","","","","","","80.53","","","","","","","","90.4745","","","91.69144","","","",
"Costa Rica","CRI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","92.68214","","","","","","","","","","","","","","","","94.65018","","","","","","","","","","","97.30633","","","","","","","",
"Caribbean small states","CSS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.5226","84.55254","84.81504","85.05495","85.29674","85.54393","85.23805","86.06818","86.35933","86.63559","86.90736","87.16746","87.46263","87.7098","88.17755","88.41722","88.63919","","","","","","","","","",
"Cuba","CUB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.80731","","","","","","","","","","99.7060599999999","","","","","","",
"Curacao","CUW","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.72239","","","","","","","","","","","",
"Cyprus","CYP","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.83059","","","","","","","","","98.63104","","","","","","","","","","99.28615","","","","","","","",
"Czech Republic","CZE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","73.59025","","","","","","","","","","","","","","","","","","","","","86.81102","","","","","88.21015","","","89.3770399999999","89.98501","90.0848199999999","90.45813","91.3716","91.65071","93.7936","","",
"Algeria","DZA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.37743","","","","","","","","","","","","","","","79.18669","","","","81.28404","","82.61584","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","77.32581","77.43379","78.24236","79.05369","79.36658","80.59643","81.00399","82.07758","82.79198","83.46887","84.13407","85.12484","87.93744","88.35516","87.87152","89.05829","89.35532","89.58849","89.92653","90.25816","90.59502","93.81687","94.03425","94.22447","94.59231","94.69266","94.90399","95.08348","95.45678","95.68777","95.94529","96.55249","96.68431","96.82698","96.86077","96.62573","96.76313","96.82167","96.99699","97.09139","97.15206","","",
"Early-demographic dividend","EAR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","60.02435","60.18764","60.75914","61.28368","61.79948","61.85305","62.38235","63.23196","63.68196","64.26662","64.76706","65.2407","66.06406","67.15939","67.71718","68.37026","68.63354","69.72978","70.5241","71.16544","71.77443","72.31707","72.84799","76.00195","76.42904","76.92109","77.16683","77.82261","78.84301","79.46878","79.63221","79.57089","80.10344","81.05373","81.66377","82.03762","81.19605","83.10652","83.39224","83.86259","84.24545","84.57598","","",
"East Asia & Pacific","EAS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","80.17249","80.23882","80.91152","81.58543","81.82525","82.86693","83.19301","84.10148","84.7005","85.27137","85.83589","86.69403","89.15783","89.51685","89.0924","90.13549","90.39176","90.59096","90.88398","91.18186","91.48116","94.3384","94.53707","94.71112","95.04204","95.13569","95.32777","95.49157","95.83105","96.03638","96.26637","96.81056","96.92925","97.05808","97.08977","96.88048","97.00493","97.05879","97.21746","97.30305","97.35882","","",
"Europe & Central Asia (excluding high income)","ECA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","97.25561","97.66132","97.74904","97.76901","97.82383","97.86951","97.92562","98.02486","98.03491","98.08975","98.13933","98.18681","98.23583","98.30265","98.33967","98.43153","98.44736","98.6772","98.72123","98.75849","98.78644","98.83249","98.9747","98.95472","98.98901","99.0027","99.11469","99.26972","99.37984","99.43138","99.44825","99.46348","99.47765","99.51393","","",
"Europe & Central Asia","ECS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.02311","98.13447","98.17501","98.23361","98.25257","98.28958","98.32369","98.35654","98.42284","98.49607","98.55651","98.64907","98.69956","98.84387","98.90394","98.94054","98.99382","99.041","99.09851","99.12384","99.12407","99.14026","99.17422","99.25279","99.33013","99.36427","99.38469","99.39563","99.4094","99.43303","","",
"Ecuador","ECU","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","86.78697","","","","","","","","90.49677","","","","","","","","","","","92.32713","","","","","","93.3892","93.74945","93.66378","93.3168699999999","93.05252","93.25424","94.42573","95.25717","95.72622","95.44502","","",
"Egypt, Arab Rep.","EGY","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","53.61519","","","","","","","","","","56.97616","","","","","","","","","","67.15178","","","","","","","","","83.01752","74.6217999999999","","","","80.2686499999999","","81.67922","82.63334","","","","86.47518","",
"Euro area","EMU","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.93869","97.98288","98.02343","98.06133","98.09226","98.1254","98.15732","98.24598","98.33356","98.42049","98.52723","98.61231","98.70209","98.78052","98.80981","98.88914","98.93269","98.92192","99.0076","98.96911","98.99192","98.95397","98.98201","99.05746","99.08696","99.11962","99.12991","99.14763","99.16769","","",
"Eritrea","ERI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.39012","","","","","","75.07241","","","","","","","","","","",
"Spain","ESP","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","95.89753","","","","","","","","","","98.03549","","","","","","","","","","","","","98.14391","98.61747","","98.63346","98.4023","98.46194","98.52571","98.53619","98.60653","98.74875","98.73127","98.7708899999999","98.83597","","",
"Estonia","EST","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.87598","","","","","","","","","","","99.77595","","","","","","","","","","","99.85898","","","","","","","",
"Ethiopia","ETH","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.98254","","","","","","","","","","50","41.93662","","49.13466","","","","","","","","","","","",
"European Union","EUU","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.31401","98.34682","98.37538","98.40267","","98.44953","98.47312","98.54916","98.62381","98.69844","98.78749","98.84142","98.9167","98.98438","99.01945","99.08662","99.13059","99.12399","99.18168","99.15697","99.17551","99.17792","99.19828","99.24969","99.2705","99.29345","99.30142","99.31425","99.32842","","",
"Fragile and conflict affected situations","FCS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.9604","67.43893","67.59269","67.95209","68.27799","68.59777","68.80753","69.58703","69.82582","70.2298","70.92286","71.82017","72.07215","72.85198","73.38963","73.72377","73.59186","73.7123","73.77804","71.93012","71.8301","71.24002","69.4281","69.61697","68.87053","69.33219","69.12752","69.49487","69.67947","69.76895","","",
"Finland","FIN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Faroe Islands","FRO","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.44418","","","","","","","","","","","","","","","","","","","84.8733","","","","","","",
"United Kingdom","GBR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.76898","","","","","","","","","","","","99.66821","","","","",
"Ghana","GHA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.35128","","","","","","","","","","78.34891","","","","","","","","",
"Gibraltar","GIB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.89534","","","","","","","42.90316","","","","","","","36.78979","","","","43.64009","","","","",
"Gambia, The","GMB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.98115","","","","","","","","","","","","","51.41804","","","","","",
"Guinea-Bissau","GNB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","33.34895","","","","","","","","","","","","","","","","","","","","","57.61375","","","","","","","","","","","","","","62.15797","","","","",
"Equatorial Guinea","GNQ","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.8426099999999","","","","","","","","","","","","","","97.29","","","","",
"Greece","GRC","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","96.0638","","","","","","","","","","96.03746","","","","","","","","","","97.81122","","","","95.4500599999999","","96.15757","","96.06622","","98.28216","","","","","","","",
"Grenada","GRD","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","98.04716","","","","","","","","","","","","","","98.58","","","","","","","","","","98.58","","","","","","","","","","98.58","","","","","","","","","","98.58","","","","",
"Greenland","GRL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.70639","","","","","","","","75.41558","","","","","","","","","","84.84873","82.72068","86.7561599999999","","","","",
