Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Unnamed: 39,1981.1,1982.1,1983.1,1984.1,1985.1,1986.1,1987.1,1988.1,1989.1,1990.1,1991.1,1992.1,1993.1,1994.1,1995.1,1996.1,1997.1,1998.1,1999.1,2000.1,2001.1,2002.1,2003.1,2004.1,2005.1,2006.1,2007.1,2008.1,2009.1,2010.1,2011.1,2012.1,2013.1,2014.1,2015.1,2016.1,2017.1,2018,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95
Canada,31769.54,32477.44,31060.9,31549.57,33099.78,34346.29,34737.7,35689.59,36792.19,36981.04,36489.95,35298.56,35077.56,35500.97,36618.79,37143.79,37320.11,38558.71,39732.87,41420.21,43175.62,43552.02,44488.3,44937.39,45970.31,47073.41,47908.49,48482.1,48559.09,46740.48,47792.77,48901.71,49364.36,50193.75,51231.99,51354.11,51692.88,52878.2,,2.23,-4.36,1.57,4.91,3.77,1.14,2.74,3.09,0.51,-1.33,-3.26,-0.63,1.21,3.15,1.43,0.47,3.32,3.05,4.25,4.24,0.87,2.15,1.01,2.3,2.4,1.77,1.2,0.16,-3.75,2.25,2.32,0.95,1.68,2.07,0.24,0.66,2.29,1.37,,,,,,,,,,,,,,,,,,
United States,28734.44,29192.03,28362.44,29406.26,31268.99,32306.86,33133.71,33975.66,35083.97,36033.29,36231.42,35726.34,36508.11,37026.34,38057.38,38632.74,39634.44,40920.67,42246.95,43723.75,45018.23,45007.05,45376.61,46221.5,47540.13,48677.14,49502.71,49902.53,49291.86,47503.07,48304.27,48715.53,49438.44,49914.58,50818.96,51887.64,52276.8,53085.54,,1.59,-2.84,3.68,6.33,3.32,2.56,2.54,3.26,2.71,0.55,-1.39,2.19,1.42,2.78,1.51,2.59,3.25,3.24,3.5,2.96,-0.02,0.82,1.86,2.85,2.39,1.7,0.81,-1.22,-3.63,1.69,0.85,1.48,0.96,1.81,2.1,0.75,1.55,2.22,,,,,,,,,,,,,,,,,,
Belgium,27463.27,27371.01,27522.96,27610.98,28292.6,28751.47,29264.86,29914.42,31283.6,32193.98,33098.75,33586.96,33961.42,33502.01,34455.04,35163.66,35641.57,36888.46,37553.62,38821.0,40122.02,40334.4,40917.66,41065.62,42376.37,43033.23,43833.85,45026.67,45028.56,43667.61,44502.15,44902.3,44618.69,44347.47,44566.64,44854.33,45148.49,45600.64,,-0.34,0.56,0.32,2.47,1.62,1.79,2.22,4.58,2.91,2.81,1.48,1.11,-1.35,2.84,2.06,1.36,3.5,1.8,3.37,3.35,0.53,1.45,0.36,3.19,1.55,1.86,2.72,0.0,-3.02,1.91,0.9,-0.63,-0.61,0.49,0.65,0.66,1.0,0.8,,,,,,,,,,,,,,,,,,
Denmark,36378.19,36146.13,37505.54,38505.63,40130.85,41720.65,43708.25,43763.9,43736.68,43992.48,44568.88,45072.55,45803.2,45658.04,47933.68,49130.03,50271.77,51698.97,52655.35,54030.68,55873.66,56139.94,56203.76,56219.59,57514.35,58653.02,60743.19,61099.79,60602.93,57464.03,58379.29,59006.56,58995.48,59406.8,60231.97,61063.41,62126.04,63379.94,,-0.64,3.76,2.67,4.22,3.96,4.76,0.13,-0.06,0.58,1.31,1.13,1.62,-0.32,4.98,2.5,2.32,2.84,1.85,2.61,3.41,0.48,0.11,0.03,2.3,1.98,3.56,0.59,-0.81,-5.18,1.59,1.07,-0.02,0.7,1.39,1.38,1.74,2.02,1.45,,,,,,,,,,,,,,,,,,
Finland,25660.58,25882.2,26532.2,27197.71,27922.36,28791.96,29483.02,30443.55,31933.12,33450.88,33514.91,31360.66,30154.13,29791.95,30836.47,32016.65,33086.61,35058.61,36871.45,38427.1,40509.96,41461.47,42057.5,42794.13,44345.52,45423.26,47085.83,49319.1,49444.5,45138.98,46277.34,47246.36,46351.04,45788.21,45298.73,45173.02,45958.99,46997.34,,0.86,2.51,2.51,2.66,3.11,2.4,3.26,4.89,4.75,0.19,-6.43,-3.85,-1.2,3.51,3.83,3.34,5.96,5.17,4.22,5.42,2.35,1.44,1.75,3.63,2.43,3.66,4.74,0.25,-8.71,2.52,2.09,-1.9,-1.21,-1.07,-0.28,1.74,2.26,2.21,,,,,,,,,,,,,,,,,,
France,27005.87,27153.43,27683.93,27913.66,28177.83,28509.65,29057.42,29666.96,30925.65,31954.24,32687.71,32830.48,33158.04,32780.13,33391.36,33930.96,34246.27,34889.5,35964.63,37012.05,38245.41,38771.01,38978.33,39078.13,39932.12,40328.77,41028.17,41736.6,41578.88,40131.14,40692.57,41312.66,41177.13,41212.89,41410.4,41667.09,41983.8,42575.66,,0.55,1.95,0.83,0.95,1.18,1.92,2.1,4.24,3.33,2.3,0.44,1.0,-1.14,1.86,1.62,0.93,1.88,3.08,2.91,3.33,1.37,0.53,0.26,2.19,0.99,1.73,1.73,-0.38,-3.48,1.4,1.52,-0.33,0.09,0.48,0.62,0.76,1.41,1.31,,,,,,,,,,,,,,,,,,
Germany,26061.29,26164.48,26083.32,26565.9,27409.25,28108.88,28741.26,29142.45,30101.88,31030.51,32358.55,33754.73,34142.22,33592.98,34299.31,34792.94,34976.01,35570.49,36269.08,36966.76,38011.3,38591.44,38526.97,38232.07,38687.51,38983.51,40471.64,41846.88,42388.19,40117.75,41853.36,43477.11,43780.21,44080.53,45014.68,45879.97,46847.97,47965.84,,0.4,-0.31,1.85,3.17,2.55,2.25,1.4,3.29,3.08,4.28,4.31,1.15,-1.61,2.1,1.44,0.53,1.7,1.96,1.92,2.83,1.53,-0.17,-0.77,1.19,0.77,3.82,3.4,1.29,-5.36,4.33,3.88,0.7,0.69,2.12,1.92,2.11,2.39,2.34,,,,,,,,,,,,,,,,,,
Ireland,17167.09,17519.52,17731.1,17566.64,18201.69,18705.02,18622.27,19493.95,20570.88,21868.47,23753.77,24057.35,24673.05,25191.62,26514.21,28921.12,30988.53,33759.0,36168.92,39512.77,42753.97,44645.34,46732.96,47359.43,49424.62,51045.44,52490.99,53838.71,50600.92,47603.38,48011.1,48935.46,48424.39,48661.98,52095.35,64613.46,67110.18,71499.93,,2.05,1.21,-0.93,3.62,2.77,-0.44,4.68,5.52,6.31,8.62,1.28,2.56,2.1,5.25,9.08,7.15,8.94,7.14,9.25,8.2,4.42,4.68,1.34,4.36,3.28,2.83,2.57,-6.01,-5.92,0.86,1.93,-1.04,0.49,7.06,24.03,3.86,6.54,3.41,,,,,,,,,,,,,,,,,,
Netherlands,30064.19,29614.3,29114.75,29609.2,30391.48,31023.37,31711.42,32117.65,33006.58,34262.11,35449.24,36036.26,36388.99,36602.53,37422.42,38395.41,39588.54,41087.71,42687.64,44552.63,46119.65,46757.05,46519.48,46446.91,47245.23,48168.89,49798.57,51543.77,52230.95,50018.18,50464.46,51057.88,50285.98,49968.04,50460.3,51386.27,52308.72,53748.84,,-1.5,-1.69,1.7,2.64,2.08,2.22,1.28,2.77,3.8,3.46,1.66,0.98,0.59,2.24,2.6,3.11,3.79,3.89,4.37,3.52,1.38,-0.51,-0.16,1.72,1.96,3.38,3.5,1.33,-4.24,0.89,1.18,-1.51,-0.63,0.99,1.84,1.8,2.75,2.08,,,,,,,,,,,,,,,,,,
Portugal,12372.33,12480.27,12734.4,12696.14,12440.89,12774.91,13290.19,14127.05,15176.9,16150.26,16789.05,17528.94,17704.43,17272.82,17335.38,18009.83,18576.14,19290.45,20079.55,20741.51,21418.33,21727.02,21795.2,21496.63,21794.16,21873.84,22130.49,22603.21,22575.97,21840.19,22197.15,21741.95,20825.19,20555.87,20711.54,21066.56,21390.91,21952.6,,0.87,2.04,-0.3,-2.01,2.68,4.03,6.3,7.43,6.41,3.96,4.41,1.0,-2.44,0.36,3.89,3.14,3.85,4.09,3.3,3.26,1.44,0.31,-1.37,1.38,0.37,1.17,2.14,-0.12,-3.26,1.63,-2.05,-4.22,-1.29,0.76,1.71,1.54,2.63,1.92,,,,,,,,,,,,,,,,,,
United Kingdom,21865.22,21670.24,22126.3,23046.58,23541.7,24464.8,25154.98,26407.89,27843.21,28481.03,28609.77,28218.85,28244.74,28899.25,29942.18,30586.17,31277.84,32457.74,33369.93,34309.27,35427.91,36185.61,36933.93,38020.64,38723.27,39684.31,40418.76,41099.47,40644.25,38719.65,39153.72,39500.79,39864.16,40458.74,41467.22,42211.39,42799.98,43336.85,,-0.89,2.1,4.16,2.15,3.92,2.82,4.98,5.44,2.29,0.45,-1.37,0.09,2.32,3.61,2.15,2.26,3.77,2.81,2.81,3.26,2.14,2.07,2.94,1.85,2.48,1.85,1.68,-1.11,-4.74,1.12,0.89,0.92,1.49,2.49,1.79,1.39,1.25,0.76,,,,,,,,,,,,,,,,,,
Estonia,8718.98,8777.82,9212.0,9485.8,9678.21,9650.11,9681.93,9943.36,10182.24,10482.93,9752.51,9028.56,7260.88,7015.19,6987.39,7268.15,7755.25,8759.07,9200.29,9195.11,10241.17,10970.98,11724.43,12685.18,13575.51,14944.51,16588.69,17966.72,17053.28,14587.43,14969.55,16176.12,16982.42,17434.7,18041.27,18445.5,18928.92,19958.19,,0.67,4.95,2.97,2.03,-0.29,0.33,2.7,2.4,2.95,-6.97,-7.42,-19.58,-3.38,-0.4,4.02,6.7,12.94,5.04,-0.06,11.38,7.13,6.87,8.19,7.02,10.08,11.0,8.31,-5.08,-14.46,2.62,8.06,4.98,2.66,3.48,2.24,2.62,5.44,4.13,,,,,,,,,,,,,,,,,,
Norway,48538.25,49144.63,49079.69,50860.86,53787.23,56605.71,58693.5,59443.7,58973.77,59340.58,60261.09,61832.4,63674.64,65097.48,67999.34,70459.05,73627.16,77088.89,78629.3,79661.38,81683.6,82965.99,83706.33,83982.32,86791.94,88464.06,89854.46,91582.3,90881.63,88224.67,87733.52,87440.81,88644.75,88434.95,89091.83,89802.13,89791.41,90570.13,,1.25,-0.13,3.63,5.75,5.24,3.69,1.28,-0.79,0.62,1.55,2.61,2.98,2.23,4.46,3.62,4.5,4.7,2.0,1.31,2.54,1.57,0.89,0.33,3.35,1.93,1.57,1.92,-0.77,-2.92,-0.56,-0.33,1.38,-0.24,0.74,0.8,-0.01,0.87,0.93,,,,,,,,,,,,,,,,,,
Russia,7329.93,7670.96,8203.22,8522.34,8801.6,8862.04,9098.34,9226.25,9682.76,9892.09,9555.05,9052.86,7729.81,7057.63,6164.98,5904.12,5697.75,5786.21,5487.63,5856.86,6470.81,6833.75,7197.48,7764.88,8364.7,8940.29,9708.78,10559.22,11117.12,10242.74,10699.14,11264.68,11677.15,11887.06,11977.4,11642.45,11621.84,11809.6,,4.65,6.94,3.89,3.28,0.69,2.67,1.41,4.95,2.16,-3.41,-5.26,-14.61,-8.7,-12.65,-4.23,-3.5,1.55,-5.16,6.73,10.48,5.61,5.32,7.88,7.72,6.88,8.6,8.76,5.28,-7.87,4.46,5.29,3.66,1.8,0.76,-2.8,-0.18,1.62,1.8,,,,,,,,,,,,,,,,,,
China,345.57,358.94,384.98,420.07,476.94,533.2,571.88,627.44,685.86,703.21,719.38,776.05,875.94,986.38,1103.1,1211.28,1319.11,1429.01,1529.47,1635.65,1763.85,1900.36,2062.93,2258.33,2473.92,2741.24,3073.14,3491.57,3808.43,4145.27,4564.04,4975.96,5342.17,5730.58,6121.41,6514.42,6920.23,7366.83,,3.87,7.26,9.11,13.54,11.8,7.25,9.72,9.31,2.53,2.3,7.88,12.87,12.61,11.83,9.81,8.9,8.33,7.03,6.94,7.84,7.74,8.55,9.47,9.55,10.81,12.11,13.62,9.08,8.84,10.1,9.03,7.36,7.27,6.82,6.42,6.23,6.45,6.19,,,,,,,,,,,,,,,,,,
Japan,25848.44,26743.98,27441.66,28214.33,29296.68,30646.16,31473.37,32800.44,34876.94,36424.37,38073.55,39239.68,39440.05,39122.72,39413.79,40403.93,41560.4,41904.91,41329.64,41135.49,42191.28,42251.74,42214.32,42798.68,43693.78,44412.75,45039.11,45765.7,45262.16,42838.54,44678.0,44664.8,45368.7,46318.02,46546.33,47244.78,47769.9,48684.35,,3.46,2.61,2.82,3.84,4.61,2.7,4.22,6.33,4.44,4.53,3.06,0.51,-0.8,0.74,2.51,2.86,0.83,-1.37,-0.47,2.57,0.14,-0.09,1.38,2.09,1.65,1.41,1.61,-1.1,-5.35,4.29,-0.03,1.58,2.09,0.49,1.5,1.11,1.91,1.3,,,,,,,,,,,,,,,,,,
South Korea,3699.83,3904.15,4162.02,4644.19,5066.21,5405.32,5952.5,6628.99,7345.96,7784.94,8464.99,9239.95,9699.29,10253.46,11094.28,12051.99,12863.79,13524.52,12689.35,14022.89,15158.53,15730.35,16807.92,17221.59,17992.44,18644.24,19538.01,20482.23,20931.89,20973.86,22219.65,22897.84,23298.47,23858.47,24517.46,25052.39,25644.93,26297.59,,5.52,6.6,11.59,9.09,6.69,10.12,11.36,10.82,5.98,8.74,9.15,4.97,5.71,8.2,8.63,6.74,5.14,-6.18,10.51,8.1,3.77,6.85,2.46,4.48,3.62,4.79,4.83,2.2,0.2,5.94,3.05,1.75,2.4,2.76,2.18,2.37,2.54,2.22,,,,,,,,,,,,,,,,,,
Singapore,13309.16,14025.33,14370.94,15381.39,16405.42,16253.6,16468.36,17949.5,19425.28,20763.07,22178.59,22873.98,23712.96,25628.34,27575.71,28665.28,29969.11,31581.84,30091.04,31147.36,33098.58,31948.78,32425.45,33019.75,35307.57,37065.88,39427.01,42052.69,41860.81,40738.34,45995.23,47921.64,48884.23,50377.66,51328.45,51487.61,51743.74,52640.12,,5.38,2.46,7.03,6.66,-0.93,1.32,8.99,8.22,6.89,6.82,3.14,3.67,8.08,7.6,3.95,4.55,5.38,-4.72,3.51,6.26,-3.47,1.49,1.83,6.93,4.98,6.37,6.66,-0.46,-2.68,12.9,4.19,2.01,3.06,1.89,0.31,0.5,1.73,1.18,,,,,,,,,,,,,,,,,,
New Zealand,22089.32,23006.46,22993.43,23492.96,24323.09,24524.56,25061.31,23896.05,24310.98,24321.4,24220.29,23536.17,23572.59,24806.63,25739.17,26504.34,26988.05,27492.05,27594.03,28878.03,29394.34,30228.58,31264.84,32174.1,32829.13,33583.06,34095.58,35014.91,34134.1,34458.22,34471.84,35087.0,35651.55,36061.3,37027.49,38351.59,39362.3,40232.75,,4.15,-0.06,2.17,3.53,0.83,2.19,-4.65,1.74,0.04,-0.42,-2.82,0.15,5.24,3.76,2.97,1.83,1.87,0.37,4.65,1.79,2.84,3.43,2.91,2.04,2.3,1.53,2.7,-2.52,0.95,0.04,1.78,1.61,1.15,2.68,3.58,2.64,2.21,1.8,,,,,,,,,,,,,,,,,,
Israel,18990.93,19520.05,19441.41,19636.79,19720.87,20113.46,20244.81,21193.64,21520.05,21385.93,22301.6,22809.65,23457.36,23423.06,24088.05,25561.08,26127.31,26384.5,26777.78,27037.31,28504.91,27885.97,27410.79,27098.56,27797.38,28409.68,29346.31,30483.54,30835.76,30698.27,31705.74,32568.43,32590.91,33322.5,33876.08,34349.4,35208.09,35832.36,,2.79,-0.4,1.01,0.43,1.99,0.65,4.69,1.54,-0.62,4.28,2.28,2.84,-0.15,2.84,6.12,2.22,0.98,1.49,0.97,5.43,-2.17,-1.7,-1.14,2.58,2.2,3.3,3.88,1.16,-0.45,3.28,2.72,0.07,2.24,1.66,1.4,2.5,1.77,1.89,,,,,,,,,,,,,,,,,,
