Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Belgium,1479.780810438,1455.529721232,1899.754151214,1879.7716610399998,1786.291454189,1412.456761956,1361.931747992,1338.2560975199997,1963.2919211359997,1983.2737901250002,2312.2270872799995,2299.5073713479997,1790.250258571,1854.4494993919998,1045.3277026500002,1078.5531139269997,2378.6379888740003,2069.940512952,2154.5422074000003,2183.4443406019996,2004.4502755200003,2050.273464918,3335.325017028,3478.095657031,2057.913608445,1875.78194305,2152.436922012,2088.541687056,2119.0319099040003,2389.734303495,2368.34487212,2201.1782956389998,2188.534340259,2958.7703162720004,2939.0261480540003
Canada,2088.497504384,2024.90355626,2170.7460791510002,2199.162623112,2133.890347523,2099.61258963,2257.1738437139998,2272.340842685,2255.222158528,2186.4741550050003,2430.0587660799997,2375.0805410639996,2735.0870313220007,2446.142495758,2349.140426655,1129.3475807209998,2486.3388823490004,2190.059901252,2298.796802874,2349.621557962,2164.352475516,2229.1885945900003,3649.787853365999,3773.0729546529997,2251.1210763149998,2050.14801257,2317.61891556,2252.296847834,2268.147228672,2566.438294061,2579.291352924,2435.296908316,2477.0465043749996,3401.281569702,3364.9164328180004
China,6.9950586139999995,7.832341103999999,8.724517844,9.532265921999999,10.70740248,11.78959214,11.320586200000001,12.099804948,42.883996072,43.105177662,53.42561014999999,14.492952864,16.35270083,21.904367009999998,22.310808576,24.448252828999998,92.145279919,28.208474051000003,30.881726260000004,95.988893385,94.43991048800001,103.367852389,183.42020760199998,203.050200096,131.09020866,131.50888002,166.90961565199999,176.64488531799998,201.15503012800002,245.085753172,262.454024624,263.545806827,282.802403826,406.399185618,426.84955319600004
Denmark,704.4193960529999,763.042710192,799.7311305959998,802.0672073549999,837.8090609100001,2551.796905625,2660.0048531200005,2770.863009044,2568.342571872,2670.5628327120003,2522.60244938,757.8414259199999,3548.9172647279997,3581.153993008,3670.5192803090004,3963.8989014379995,3333.647813643,4268.63232059,4285.259679888,4517.011057478,4612.14870073,4616.031669928,4566.121368045999,4720.565044905,4742.430989214,4695.393918129001,4653.11560724,4530.705348265,4855.0669378640005,4997.0045171950005,5006.624006815994,4269.9866505360005,5046.26904124,4598.620561545,2939.2322832810005
Estonia,171.063033942,187.4162976,197.01247735999996,193.43160852299997,193.787718954,565.2552782250001,604.365375488,645.078505392,612.008129502,584.3694239490001,505.3068346559999,120.13561612799998,545.278091358,522.0320993340001,441.39838357499997,473.5231566,564.801475833,579.4894659400001,614.9101080960002,546.8999844570001,574.493173504,641.171558524,671.633345834,666.803257731,724.0405871859999,1282.290807179,837.960634112,940.9164293279999,868.557463345,827.3670285000001,811.6174096560001,800.3695669059999,843.55703786,988.555152507,962.0988345000001
Finland,1250.09473068,1267.2203235200002,1319.5648949249999,1311.1167516880002,1451.6791064159997,1502.625700716,1582.495305615,1617.383788192,1696.080039168,1788.3254341810002,1986.0361010739998,1964.5777544559999,2229.5312245650002,2114.0342882610003,2180.1481684299997,2269.916805033,2260.645784159,2322.3851497,2255.52090431,2315.905801248,2424.654327159,2533.8718485000004,2642.439101001,2735.4534011999995,2741.7752275559997,2796.0036712300002,2804.32841319,2890.90619265,2927.3441031640004,3026.866605114,3062.513779836,3333.8170924159995,3277.739855208,3239.5658551880006,3203.5937842659996
France,1284.5527436959999,1343.232588779,1354.4656896440001,1371.5671463820001,1383.165626505,1368.00880489,1371.6340954240002,1405.48420068,1424.0087513600001,1475.5036167739997,1589.4220282400004,1570.162510356,1779.826660467,1878.741496448,1964.850280008,1971.4618743439996,2249.74125005,2045.6393826959998,2100.11553387,2186.444195208,2267.317033497,2348.358630174,2245.706804523,2259.8864535840003,2225.635928621,2238.981087606,2277.6831244799996,2267.508378688,2306.0075404520003,2316.428616507,2279.7565167800003,2246.797156746,2266.824346092,2282.56609424,2276.7897986159996
Germany,509.896002688,530.659928736,551.75249028,547.809493275,564.465662832,592.51544553,525.802654125,531.0513465839999,1892.3397974319998,1938.921080145,2323.77687739,564.9035152319999,1482.733669836,1486.8339293279998,1538.1228122260002,1568.0409827190003,2293.652779131,1615.2253432600003,697.947215504,2068.57874713,1917.8324839520003,1930.482443881,3105.1857861579997,3175.3276770130005,1864.249923465,1731.90289052,1817.422552464,1869.1241933259998,1957.9387652000003,2056.540179648,2090.29249458,2159.8134779509996,2175.3609313409997,2219.7323898840004,2208.391063977
Ireland,1003.020551232,954.4792978800001,955.630485992,960.2083139219999,980.5339829180001,986.0249875489999,1076.4949069000002,1030.6340014080001,1029.434169933,1091.499983762,1149.2075808250002,1233.5636770200001,1287.1507089279999,1374.101584671,1407.2438569600001,1471.425271137,2176.8444621000003,1552.778755196,1636.1645365450001,1768.5692738139999,1826.8560610620002,1918.9394569280003,1991.7150364790002,2217.341669522,2308.3360513280004,2385.962203153,2537.014611975,2754.977209584,2920.5720904359996,2901.5076185099997,2848.224833202,2784.93509329,2586.754068048,2546.64992754,2435.7400629659996
Israel,1117.5540945799999,1046.5466534280001,1068.247267037,1040.3508318059999,1054.3656753139999,1071.936371247,1170.3551880799998,1078.18893708,1006.7191302269999,1024.7719009599998,1089.6055756750002,1172.783553504,1196.7871968640002,1248.365600055,1243.7510306400002,1240.600447999,1701.32269055,1781.346292274,1735.549262479,1743.98740362,1778.943627195,1773.283496391,1722.0023839040002,1652.782179516,1637.087923224,1691.2366491930004,1679.62781223,1708.9887414479997,1687.127801968,1757.912072004,1811.954373579,1856.792138157,1961.9554905,1969.5959424960001,2020.2290465400001
Japan,1354.42212312,1384.7226285959998,1361.135457891,1545.511197384,1606.499288744,1666.4740261189997,1835.6831846880002,1937.78022487,1954.950574455,1749.5024666300003,1874.45989376,1971.86051582,1341.533717888,1432.9553388929999,1400.291123189,1973.4083171600003,2702.108216129,1387.0351172920002,1412.30477817,1483.517129976,1460.6722280179997,1462.8823809839998,1508.0928072920003,1521.8849430459998,1496.09677905,1499.392507099,1524.42800758,1502.3189836400002,2354.337616736,1626.05581,1626.9510718400002,1675.1303626199997,1697.7314414759999,1671.287870347,2778.659215398
Netherlands,1724.6479891,1679.5222029249999,1649.7950148,1566.957356468,1719.820846331,1786.443818848,1918.7630110050002,1829.287376102,1838.8988368649998,1877.526457512,1884.1126105880003,1819.3184996359998,1763.5464979300002,1767.6592354260001,1780.805992587,1798.285676376,2649.413607449,1963.05515686,2030.3569096229996,2133.26441075,2221.319904285,2265.680101972,2369.484468959,2416.4234316720003,2484.9318804309996,2534.981266279,2543.0459067519996,2659.740997565,2748.8941346220004,2803.7044686799995,2821.5452471959998,2753.48426387,2794.152835152,2790.10641393,2774.560539634
New Zealand,1032.171024024,1034.490511101,1326.48300048,973.3419571479999,860.265158312,859.6806230610001,936.976068525,1068.489450882,1165.22368116,1528.3923361020002,1500.0118936739998,1564.310074026,1904.3156812319999,1529.75609061,1521.929561046,1722.8415454599997,1692.7624962399998,2031.1110068069997,1916.3893878449996,1900.250019112,1983.1611051900002,2003.135172316,2071.2173397300003,2137.8427943389997,2108.6803373999996,2029.6519149140004,2071.461066654,1879.5430153500001,2164.379377174,2413.8595713439995,2433.8272985,2550.0412865400003,2416.85717504,2349.9385446029996,2430.0871378059996
Norway,2724.401366532,2787.161975565,2871.75673818,2920.307729451,2975.0093187569996,3251.5201210500004,3440.642966589999,3459.3836560689997,3738.373463188,3802.703771142,3940.71488328,4225.538254896,4997.299188672,5324.640719162,5422.380523995001,5255.617121540001,5630.217916705999,5787.659022169999,5549.546308596,5280.583352480001,5666.087617659001,6228.855875556,6231.320179360001,6337.998776888,6076.313196408,5737.8003104360005,5982.18331069,5708.347885604,6259.928525048,5913.6428221920005,5637.685016183001,6528.021001875,6610.30026862,6842.911823541999,6782.278927611
Portugal,397.55151268800006,423.8988868799999,410.40145588600006,390.921377847,416.739281547,405.211248005,446.085619735,514.07043911,561.20538474,599.263313985,713.5908771420001,767.8482108720001,836.085670254,809.7078631920001,830.768244138,940.9037823679998,1187.76701976,1477.9934288949996,1046.481774785,1105.5649324409999,1159.1495532119998,1145.5295577600002,1134.650172301,1098.92692968,1109.169929184,1086.168875298,1112.509653311,1061.5514581610003,1214.781944066,1199.287597635,1113.468311155,1030.0971981599998,1084.912095969,1061.10397305,1028.6674848640002
Russia,425.25040694399996,465.84855896999994,481.19688342,477.87142992,465.75957766799996,504.03256882200003,534.021808375,567.987796772,623.187821074,602.9599641899999,576.958684092,512.961013334,541.7888476319999,482.744443414,454.368676548,406.713941625,422.59816183399994,403.92743264699993,408.0134664119999,418.317159908,466.70480587500003,535.5875187359999,576.13856624,610.83389044,614.079911172,619.969680948,689.731418166,698.275200896,726.767471056,721.171252044,726.282357724,859.9345188750001,888.5292060560001,919.9529527599999,879.292543515
Singapore,362.453798124,469.72135937,607.4187817950001,515.496028866,530.2200631200001,502.11206222,566.7859766500001,710.157156352,721.49591943,791.635937883,931.1837140140001,1028.440560384,1240.532109198,1288.017292964,1322.2892350079999,1517.9713844319997,1944.582317952,2214.908172176,1571.49332776,1099.3229966879999,1134.6225831640002,1264.796830335,1323.3589365500002,1298.2628796569998,1193.3953120079998,1130.7153916870002,1246.172594384,1163.462608816,1235.121287456,1429.6973312280002,1473.2022647160002,1519.5711779730002,1459.7884160540002,2629.6848146249995,1966.955421025
South Korea,175.15734726,187.252193214,262.22489996999997,202.735538812,189.60619336399998,204.18920275,259.926012395,322.861553364,372.97180443599996,534.173035962,588.88234139,643.658463406,787.1212117439999,659.36634324,692.048164581,821.188334988,832.742565056,934.0237165149999,930.5800147349998,979.9504572040001,1031.997476925,1076.881753608,1108.6450227270002,1171.6730905319998,1170.6718296000001,1163.064520683,1211.716437462,1152.583125015,1317.403802162,1555.9109935650004,1588.32012052,1666.4650039960002,1599.0137461760003,1555.993243662,1587.404608526
United Kingdom,1146.013306208,1148.0673281,1166.5026467,1153.3220080199999,1123.9349303200001,1101.999425832,1154.502775809,1188.4345167509998,1174.8738166330002,1160.274944304,1163.31644748,1224.2654308259998,1569.110788075,1452.444250094,1480.1442903419997,1378.6771426560001,2092.936744906,1411.521343056,1381.088785507,1442.550096589,1499.491874229,1733.1172784640003,1843.3622932479996,1848.1764859059997,1975.0801718379998,2029.3693533360001,2035.82114698,2006.009152025,1986.5774666549999,2259.349751112,2241.010169307,2175.1559990719998,2273.259270254,2360.902996924,2377.125985572
United States,754.403792884,927.0405326199999,1161.2679105299999,982.5435844770001,1053.904694862,1010.230251045,1072.839223122,1282.613808848,1252.12079421,1293.2334360539999,1454.3942929620002,1583.371333944,1792.2488797979997,1777.599327992,1782.0742103639996,2007.531947328,2519.600229776,3109.667023954999,2206.016220625,1495.217483928,1598.3713722900004,1769.9736626430001,1852.4560327000002,1748.0553341129998,1567.238405724,1419.6733692770001,1478.7916130079998,1369.998240096,1440.2170774880003,2618.0962644269994,2544.85057167,2568.2577441840003,2467.672014582,2535.6018454080004,1982.2375671000002
