Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,1981_x,1982_x,1983_x,1984_x,1985_x,1986_x,1987_x,1988_x,1989_x,1990_x,1991_x,1992_x,1993_x,1994_x,1995_x,1996_x,1997_x,1998_x,1999_x,2000_x,2001_x,2002_x,2003_x,2004_x,2005_x,2006_x,2007_x,2008_x,2009_x,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x
Belgium,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,281114.2319,254541.4167,255355.4547,261659.3014,265903.0825,251848.4101,244700.2547,255340.8101,262771.45,270156.3003,274141.1338,277197.525,340907.4082,354093.757,204884.5814,210093.1549,217443.0852,221363.944,228834.6548,236503.6603,237755.5576,241193.6478,242065.8143,249792.1744,480861.9187,489808.2067,503137.0159,563420.7576,517344.1493,534611.0033,525999.4619,522677.1665,527363.7047,535648.6745,545983.9494
Canada,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,505962.79,482431.9972,466143.9503,466402.38,454637.7192,440585.1966,480233.0558,498112.536,501824.2072,481325.0643,503491.6001,460082.1878,519147.7248,473643.1759,477803.9714,480072.0866,496004.9787,502206.789,527771.3454,560531.8042,531867.7207,540439.4196,545894.92,558442.7288,573263.2821,583432.9448,597714.4788,583192.7285,583491.3257,589569.699,597536.8407,603190.0259,613324.4584,626010.8583,627503.0597
China,65.505089,65.505089,65.505089,65.505089,65.505089,65.505089,65.505089,65.505089,65.505089,65.505089,77.785057,77.785057,77.785057,77.785057,77.785057,77.785057,77.785057,77.785057,77.785057,77.785057,90.920212,90.920212,90.920212,90.920212,90.920212,90.920212,90.920212,90.920212,90.920212,90.920212,95.124481,95.124481,95.124481,95.124481,95.124481,96.357452,3432.632955,3681.659985,4017.234428,4656.002746,5698.511016,5969.861039,5936.573755,7368.838688,7555.246047,7728.975557,8337.834637,10765.76685,14572.7288,22133.63531,22671.73368,25729.68905,27873.32591,22255.94505,20660.81111,22280.17711,24004.51136,26058.02407,28526.23089,31249.46892,34626.13753,38818.5523,44103.97595,48106.41205,52361.22672,57650.9451,62854.1373,67479.94089,72386.1651,77322.9577,82287.2871
Denmark,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,412633.3762,428151.993,439568.7204,458121.7443,476270.4242,498960.2695,538046.5158,542769.5746,492102.5208,498550.1658,477827.6243,485573.4642,633613.5146,646123.4776,645971.9517,710967.5018,731151.6492,770577.8744,785806.541,857333.8201,872894.1027,867442.0874,851262.9769,890716.6864,925505.9446,942287.2389,938291.1451,898757.2087,858752.2332,881722.2658,887237.9779,736777.441,904019.4146,832816.6074,844312.7787
Estonia,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.72644,99.767197,99.767197,99.767197,99.767197,99.767197,99.767197,99.767197,99.767197,99.767197,99.767197,99.767197,99.885788,99.885788,99.885788,99.885788,99.823509,172779.8,181326.0602,186715.4517,190502.7886,189949.6772,190576.0119,195721.9164,200423.9538,206342.6396,191965.286,177715.2859,142920.8384,138084.7551,137537.5488,143063.9388,152651.8593,154984.824,147404.1023,150405.5177,150325.0138,163988.5041,177569.189,190899.6544,194212.3321,213074.3402,236516.5654,245826.2327,236694.5809,188616.7828,204226.427,216860.2999,203639.5947,219374.2049,257207.7111,239175.4203
Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,322330.1894,319874.8564,317117.4113,304528.7972,332839.3764,327433.9977,341516.3528,359442.392,383240.3765,404702.9279,403254.1827,343956.0993,370787.0347,352092.0479,381050.6423,391966.1501,415327.7833,436803.9006,451905.0016,493043.4824,523842.8696,533395.5055,546736.5211,566689.6263,556421.308,578393.8603,599224.599,599039.8953,534595.3846,552805.5022,563123.6953,593167.7007,569857.6254,557497.8119,562779.4868
France,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,313527.351,316378.0425,300357.96,294931.9928,288005.6247,282368.9657,278976.8184,297434.861,304509.2082,316724.6242,330357.6899,319029.4187,343713.1029,353428.5125,373583.602,371953.5329,378939.744,388828.3604,401376.436,414751.5838,420451.4425,422699.7201,423690.9472,428563.8908,419456.3105,425351.3468,435145.3742,427165.1974,405721.0097,409738.7774,407505.5995,395703.1603,398193.9976,400127.99,402363.6713
Germany,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,252513.9198,251730.643,256388.0322,264527.2199,271279.3631,277382.4751,281254.3678,290513.8459,299476.0726,312293.0132,325767.5743,329507.2481,324206.5218,324561.6798,333023.7566,291017.5414,295963.9063,338717.3008,345232.9413,354987.9108,360405.8441,359803.7581,357049.6841,361303.0428,364067.3897,387481.9568,424458.7624,428965.5156,411537.5078,435195.8411,467522.8417,487593.3328,486784.8192,501177.2418,503535.8823
Ireland,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,255588.5982,228627.2858,201364.8133,202783.5722,207341.5927,180561.7161,203917.2437,213997.8361,235960.3539,274430.1553,271275.9712,287471.3804,299444.2218,335162.1515,363663.1284,395851.8206,431242.1923,448825.9153,481652.7637,572792.4652,562250.9113,578070.826,603734.2249,668706.2122,692299.6964,704941.3979,706494.1649,658893.3017,621308.843,445735.5325,615058.0522,664275.1287,643000.4255,678265.3074,844565.7663
Israel,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,91.751411,97.099998,97.099998,97.099998,97.099998,97.099998,97.099998,97.099998,97.099998,97.099998,97.099998,97.099998,97.099998,252966.9648,251947.8423,254479.8381,255569.4594,260657.1667,262359.376,274655.5866,278885.6448,277147.5381,289014.0169,295598.0096,303991.9037,303547.3984,312165.2299,331254.7265,338592.6936,341925.7062,347022.3555,350385.693,369404.8204,360370.6692,352925.4338,346650.1992,357013.1483,361921.7092,385362.5371,400382.3981,411105.7443,405558.5288,431536.9984,453381.8572,453624.0767,482909.67,489860.3122,516753.4041
Japan,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,431259.7821,430207.0201,419999.9271,436111.8433,456200.2701,468514.1595,592187.0159,620693.043,642644.6302,671741.5418,692315.8766,695851.0566,434847.8591,437746.1055,419431.9852,431437.2656,435013.6136,411887.0593,359600.2833,410281.9298,399591.6059,405980.6033,413920.1578,421183.1337,430357.771,433372.6219,447351.4797,441752.7975,418098.5814,411542.0146,422045.2882,424962.2613,431186.0277,423260.6735,429611.9029
Netherlands,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,351502.7878,327455.9224,308003.4851,296854.8592,327618.8863,342496.9719,361806.612,347574.8005,360796.1215,388809.3913,386278.7971,390059.7699,347266.1373,355324.381,373184.5714,351016.1446,364308.7004,445074.9947,467158.8295,510804.1791,515128.9658,516329.0124,529713.5389,553780.2389,587346.8785,589138.9945,599194.2645,610685.312,570739.9456,582507.7293,600696.4688,584655.9808,603919.2279,604283.7904,618204.0628
New Zealand,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,209590.4611,209471.7568,214022.5101,221585.0525,223420.4583,225526.7287,235889.3797,262223.3356,274177.5743,273037.7512,265325.598,265736.1643,279647.6207,402955.4577,412606.578,483164.6302,482684.5199,484475.0073,521173.6474,530491.7057,561692.9638,583082.7004,599574.3275,620762.7363,607141.4251,574902.9631,583450.294,534341.3455,587927.8726,595701.6621,606508.619,700946.5506,663550.9992,668804.9651,695140.9775
Norway,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,705442.6598,706545.3277,721271.0795,749717.6083,788578.6745,815856.6711,839809.2993,770422.716,816633.1938,829595.7451,840659.7073,862183.2792,1015168.511,1101626.028,1168516.137,1155716.695,1226148.132,1199063.014,1183346.698,1264989.804,1305458.237,1360766.931,1323154.049,1435195.859,1481923.394,1458655.971,1516340.047,1467635.628,1390501.966,1342851.012,1312567.878,1547091.115,1528002.944,1518840.191,1412481.538
Portugal,79.435608,79.435608,79.435608,79.435608,79.435608,79.435608,79.435608,79.435608,79.435608,79.435608,79.435608,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,87.947853,94.477051,94.477051,94.477051,94.477051,95.428108,89963.65189,91795.54037,91519.74431,89679.78234,92087.55549,95801.93591,101834.4161,136545.5069,159295.8285,172296.6183,193002.5692,187276.5753,181767.2394,189133.503,209830.1881,233921.529,242916.5349,252853.3397,245924.4097,259255.1769,262766.7972,262025.1637,250348.6781,238563.4521,237627.3358,240080.629,250076.4907,234154.1229,241875.9546,231439.9163,222620.8267,212271.7864,217244.301,204976.5193,213413.7328
Russia,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,97.986053,99.440971,99.440971,99.440971,99.440971,99.440971,99.440971,99.440971,99.440971,99.684273,99.684273,99.684273,99.684273,99.684273,99.719566,68669.28328,73433.99496,76290.70933,78790.60296,79331.65277,81446.97493,82592.00606,86678.61511,88552.50587,85535.37434,81039.84479,69196.09965,63178.84512,55187.97621,52852.79662,51005.40334,51797.28399,49124.44062,52429.73219,57925.7205,62961.7989,76176.97672,81777.30905,93483.13438,106841.5615,120639.3585,131206.7559,132952.195,122495.2835,127953.4761,134716.899,130162.3885,132502.2049,133509.2032,126547.261
Singapore,82.906052,82.906052,82.906052,82.906052,82.906052,82.906052,82.906052,82.906052,82.906052,82.906052,89.096001,89.096001,89.096001,89.096001,89.096001,89.096001,89.096001,89.096001,89.096001,89.096001,92.5494,92.5494,92.5494,92.5494,92.5494,92.5494,92.5494,92.5494,92.5494,92.5494,95.85733,96.179337,96.36306,96.540154,96.71666,96.774628,256447.5489,262766.8895,281242.5636,299966.5425,297190.5746,301117.3753,328199.4277,355183.4747,379644.4297,405526.6467,418241.5747,433581.9884,468603.9456,504210.8271,524133.1787,547973.1887,577461.3117,550202.63,569517.0187,605194.2959,622025.1748,589588.0663,720045.8388,716927.2704,734532.6907,778656.6371,841827.99,834824.2733,700653.4137,789675.0856,953276.9108,1034460.211,1005470.588,1024447.082,1027623.702
South Korea,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,97.965942,16124.1395,17189.1426,19180.5047,20923.4473,22323.9716,24583.825,27377.7287,30338.8148,32151.8022,34960.4087,38160.9935,40058.0677,42346.7898,45819.3764,49774.7187,53127.4527,55856.2676,52407.0155,57914.5357,62604.7289,64966.3455,69416.7096,71125.1667,74128.8528,76814.2688,80496.6012,84386.7876,93356.2294,93543.4156,99099.639,111283.5024,118822.197,125256.9675,129207.0142,131525.0475
United Kingdom,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,274003.0653,256714.2004,262905.2441,263808.5256,255887.6184,256977.9931,277458.4575,300331.0631,317202.345,319445.2479,307908.2886,316159.4743,323485.7778,355972.3977,366088.3156,367701.9743,381572.8669,407935.0474,403314.0462,426042.5831,443814.3355,499463.0755,517344.9474,501179.7943,522808.2431,531079.0635,535764.06,526666.5657,488507.2386,510104.4526,501487.4145,506100.6256,522461.5115,566699.322,583344.5252
United States,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,381106.0385,370275.6249,383902.8412,408221.0421,421770.5803,432565.2228,443556.9979,458026.1401,470419.6456,473006.2605,466412.3704,476618.4872,483384.0524,496844.4239,504355.8293,517433.163,534225.0757,551539.8468,570819.6776,587719.2952,587573.3387,592397.9963,603428.1535,620643.0528,635486.8775,646264.8094,651484.5155,643512.1332,620159.2293,630619.0074,630057.9229,661797.7894,662691.4205,683610.5516,697986.3068
