entity,code,life_expectancy,spend
Belgium,BEL,7.695999,3954.074
Canada,CAN,7.100998,3863.844
China,CHN,4.137001,632.137
Denmark,DNK,6.223999,4168.691
Estonia,EST,7.404007,1382.255
Finland,FIN,7.526001,3552.707
France,FRA,8.319999,4001.629
Germany,DEU,7.889,4336.07
Ireland,IRL,8.739998,4612.174
Israel,ISR,8.288002,2069.118
Japan,JPN,7.370003,3882.976
Netherlands,NLD,6.020996,4445.541
New Zealand,NZL,8.519996,3040.914
Norway,NOR,6.319,5705.443
Portugal,PRT,9.523002,2371.574
Russia,RUS,5.837998,938.306
South Korea,KOR,15.805001,2398.446
United Kingdom,GBR,7.814995,3637.559
United States,USA,5.330002,8455.1